,item_id,amount,currency,location,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,İpoteka,Təmir,Torpaq sahəsi,Binanın növü
172,4636183,180000,AZN,"['Qara Qarayev m.', 'Nizami r.']",Köhnə tikili,5 / 9,68 m²,2.0,var,,var,,
173,5234130,300,AZN,[],Yeni tikili,6 / 6,45 m²,1.0,,,var,,
174,5129071,115900,AZN,"['Həzi Aslanov m.', 'Xətai r.']",Yeni tikili,1 / 13,59 m²,2.0,var,,var,,
175,5157174,195000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,,130 m²,4.0,var,var,var,3 sot,
176,4991297,760000,AZN,"['Sabunçu r.', 'Nardaran q.']",Yeni tikili,7 / 7,208.5 m²,4.0,yoxdur,,yoxdur,,
177,4487350,2000,AZN,"['Nizami m.', 'Beşmərtəbə', 'Nəsimi r.']",Obyekt,,120 m²,,,,var,,
178,5205584,86000,AZN,"['Abşeron r.', 'Masazır q.']",Yeni tikili,6 / 8,70 m²,2.0,var,,var,,
179,5185107,128000,AZN,"['Suraxanı r.', 'Hövsan q.']",Həyət evi/Bağ evi,,180 m²,4.0,var,var,var,2.2 sot,
180,5236816,250,AZN,"['Tibb Universiteti', 'ASAN Xidmət №1', '8 Noyabr m.', 'Nəsimi r.', 'Kubinka q.']",Yeni tikili,5 / 8,75 m²,3.0,,,var,,
181,4060960,285000,AZN,['Nizami r.'],Həyət evi/Bağ evi,,170 m²,4.0,var,var,var,4.1 sot,
182,5084643,240000,AZN,"['20 Yanvar m.', 'Yasamal r.']",Yeni tikili,13 / 20,100 m²,3.0,var,,var,,
